CITY,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7,PRCP8,PRCP9,PRCP10,PRCP11,PRCP12,SNOW1,SNOW2,SNOW3,SNOW4,SNOW5,SNOW6,SNOW7,SNOW8,SNOW9,SNOW10,SNOW11,SNOW12
Budta,21.9041260745,22.0150306748,22.2836103152,22.8090464548,23.0319879518,22.6118072289,22.2773573923,22.2510909091,22.2242874845,22.3326493663,22.3142346635,22.1594842407,32.5980523094,32.9669862193,33.899339934,34.0291183295,33.0686601495,31.8701162791,31.3240044868,31.4564132327,31.8639602804,32.3073665893,32.6688326624,32.7191560244,2.28324844369,2.49354021533,1.61847762929,1.96301531213,2.63774985722,3.81670520231,3.25225733634,2.78267762772,2.81902497027,3.1695227142,2.81420798065,2.31078600115,0,0,0,0,0,0,0,0,0,0,0,0
Bursa,3.01414613424,2.84425531915,3.98089500861,7.65859167405,12.0014150943,16.0742666667,18.6013763441,18.8088172043,15.5418222222,12.0484301075,8.4616,5.21558329746,8.68586587436,9.11185080264,11.2736344086,16.4691013723,21.447084048,26.0318222222,28.4580645161,28.5578924731,24.9738666667,20.1692043011,15.3263555556,10.9831397849,4.96399099775,4.73198594025,4.6521308226,4.38569604087,4.09608843537,4.61712846348,6.50187265918,6.49134948097,7.14893617021,6.80103359173,6.67185877466,6.31274433151,0,0,0,0,0,0,0,0,0,0,0,0
Busan,-2.11827956989,-0.594705882353,3.47297297297,8.44277777778,12.9983870968,16.9905555556,21.4548387097,23.135483871,17.9201149425,11.9277419355,5.608,0.661676646707,6.61827956989,8.37117647059,11.7108108108,16.7677777778,21.0005376344,23.3061111111,26.7817204301,29.4948387097,25.8097701149,21.3748387097,15.5253333333,9.92634730539,0.694623655914,3.34437869822,3.37621621622,3.61888888889,5.25107526882,6.17740112994,6.58333333333,4.53806451613,4.86264367816,2.55096774194,2.09,1.01077844311,0.344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cairo,7.77414669572,8.52961476726,10.6915204678,13.6685779817,17.28,20.0492378049,21.7537471612,22.0252639517,20.1454189507,17.6641779789,14.0653481013,9.56623076923,19.8380434783,21.4199359488,24.4289051095,28.6597254005,32.6601444043,35.1065648855,35.811866969,35.1408333333,32.6262372349,30.5333836858,26.1849564529,21.2802003082,0.160882140275,0.133918595371,0.131924198251,0.0555893536122,0.0551079136691,0.0114416475973,0.0,0.0,0.0,0.0511662904439,0.0670355731225,0.181273983116,0,0,0,0,0,0,0,0,0,0,0,0
Calgary,-16.8943181818,-11.9128712871,-9.09538461538,-2.65602006689,2.99074675325,7.28585086042,9.46475409836,8.32524271845,3.80883333333,-0.694959677419,-8.39591836735,-13.8682971014,-5.18555194805,-0.164566929134,2.85289115646,9.96816666667,15.5132686084,19.9161228407,23.2278829604,22.2506535948,17.0877721943,12.1064516129,2.60544090056,-2.51433691756,0.510441767068,0.433190578158,0.399377593361,0.681489841986,1.47924528302,2.49747048904,1.98709219858,1.49448373409,1.11757754801,0.398262548263,0.4838,0.459731543624,5.05421686747,4.33190578158,3.84647302905,3.59325842697,1.20542082739,0.0,0.0,0.0,0.715492957746,2.28323699422,4.638,4.59731543624
Cali,18.6603633361,18.8154296875,19.0220232766,19.0211059908,18.9583559169,18.6879235447,18.2385217391,18.2796945193,18.4585454545,18.5638278388,18.6276717557,18.663896336,30.5383152174,30.6642126789,30.6376514445,29.8443897638,29.6408423115,29.7558300395,30.5261287224,31.0447287615,30.6944444444,29.6865384615,29.3178010471,29.7407934893,1.67386363636,2.22238648363,3.04152854512,4.26039325843,3.308,2.16407447974,1.13364879075,1.3,2.42354740061,3.78732261116,3.50961904762,2.22769516729,0,0,0,0,0,0,0,0,0,0,0,0
Camayenne,22.6130952381,22.9207089552,23.4890971039,24.2,24.2078231293,23.3318101933,22.6753401361,22.6719387755,22.9336267606,22.9374551971,23.5987012987,23.0642585551,30.8293015332,31.0247191011,31.2633730835,31.623518851,31.1630952381,29.6847100176,27.9104095563,27.2670648464,28.8050877193,30.1008992806,30.7601113173,30.976,0.0377551020408,0.0164179104478,0.252981260647,0.805565529623,5.03044217687,17.7669595782,43.8824829932,37.3948979592,22.6798245614,11.3129032258,3.72597402597,1.26337760911,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,5.9231316726,6.52845070423,8.04967479675,9.34625,12.16248,15.3270973154,17.6155791191,18.2748366013,16.6766081871,13.2981528128,9.63815676141,7.01370212766,17.4077371048,18.6228723404,20.8559335443,21.7886198547,24.2849348534,26.7921979866,29.5443724696,30.1301612903,28.5989907485,25.8,21.715193133,18.5390561432,1.84534792807,1.71308900524,1.67873651772,1.12061611374,0.480340557276,0.140657578188,0.0328369905956,0.0417618270799,0.219690805533,0.813819286257,1.79266055046,2.24101416853,0,0,0,0,0,0,0,0,0,0,0,0
Changchun,-20.3435950413,-16.5588668555,-7.96241679467,1.61797040169,9.21791581109,15.3323607427,18.9544290835,17.375,10.127098831,2.08070805541,-8.06978226235,-16.7557563242,-10.0631230926,-5.31127151582,3.29139240506,13.9831141504,21.7300203874,26.2039957939,27.7152827305,26.5708032956,21.5504008552,13.2589783282,1.71307570143,-7.07378888322,0.12693099897,0.18469330332,0.400873138161,0.801114058355,1.54495647721,3.19509493671,5.70614124872,4.21080942623,1.75450186468,0.916349614396,0.44896,0.178790983607,0,0,0,0,0,0,0,0,0,0,0,0
Changsha,2.65029585799,4.98322496749,8.57047058824,14.4378510379,19.1476923077,22.9316176471,26.1010600707,25.2380165289,20.9757907543,15.5525443787,9.80469715698,4.53065088757,8.37289504037,11.0256637168,15.4375576037,22.1778571429,26.9337557604,30.1526190476,33.7178034682,32.578614098,28.4622222222,23.358492823,17.6196859903,11.6826989619,2.54186602871,3.31353767561,4.74011695906,6.1265625,6.60827505828,7.59245742092,5.23446191052,3.75465393795,2.75951219512,2.25018181818,2.60292326431,1.62817745803,0,0,0,0,0,0,0,0,0,0,0,0
